(classPart, valuePart, lineNo)
(#, , 25) 	 > Punct
(jump, , 26) 	 > KW
(#, , 26) 	 > Punct
(}, , 27) 	 > Punct
(lest, , 28) 	 > KW
({, , 29) 	 > Punct
(ID, myNumber, 30)
(=, , 30) 	 > Oper
(ID, f, 30)
(is, , 30) 	 > Oper
(ID, rtNum, 30)
(-, , 30) 	 > Oper
(ID, secondNum, 30)
(#, , 30) 	 > Punct
(skip, , 31) 	 > KW
(#, , 31) 	 > Punct
(}, , 32) 	 > Punct
(until, , 35) 	 > KW
((, , 35) 	 > Punct
(ID, number, 35)
(is, , 35) 	 > Oper
(int_const, 10, 35)
(), , 35) 	 > Punct
({, , 36) 	 > Punct
(ID, myfunction, 37)
((, , 37) 	 > Punct
(), , 37) 	 > Punct
(#, , 37) 	 > Punct
(}, , 38) 	 > Punct
(when, , 41) 	 > KW
((, , 41) 	 > Punct
(ID, myNum, 41)
(is, , 41) 	 > Oper
(int_const, 10, 41)
(or, , 41) 	 > Oper
(ID, myNum, 41)
(is, , 41) 	 > Oper
(int_const, 20, 41)
(), , 41) 	 > Punct
({, , 42) 	 > Punct
(ID, myfunction, 43)
((, , 43) 	 > Punct
(), , 43) 	 > Punct
(#, , 43) 	 > Punct
(ID, print, 44)
((, , 44) 	 > Punct
(ID, f, 44)
(is, , 44) 	 > Oper
(ID, rtVar, 44)
(,, , 44) 	 > Punct
(ID, secondVar, 44)
(), , 44) 	 > Punct
(#, , 44) 	 > Punct
(}, , 45) 	 > Punct
(loop, , 48) 	 > KW
((, , 48) 	 > Punct
(int_const, 1, 48)
(,, , 48) 	 > Punct
(int_const, 10, 48)
(), , 48) 	 > Punct
({, , 49) 	 > Punct
(ID, print, 50)
((, , 50) 	 > Punct
(str_const, "ALWI", 50)
(), , 50) 	 > Punct
(#, , 50) 	 > Punct
(}, , 51) 	 > Punct
(try, , 54) 	 > KW
({, , 55) 	 > Punct
(}, , 57) 	 > Punct
(except, , 58) 	 > KW
({, , 59) 	 > Punct
(}, , 61) 	 > Punct
(finally, , 62) 	 > KW
({, , 63) 	 > Punct
(}, , 65) 	 > Punct
(toggle, , 69) 	 > KW
((, , 69) 	 > Punct
(ID, expression, 69)
(), , 69) 	 > Punct
({, , 70) 	 > Punct
(check, , 71) 	 > KW
(int_const, 1, 71)
(:, , 71) 	 > Punct
({, , 72) 	 > Punct
(skip, , 74) 	 > KW
(#, , 74) 	 > Punct
(}, , 75) 	 > Punct
(check, , 76) 	 > KW
(int_const, 2, 76)
(:, , 76) 	 > Punct
({, , 77) 	 > Punct
(skip, , 79) 	 > KW
(#, , 79) 	 > Punct
(}, , 80) 	 > Punct
(nonmatch, , 81) 	 > KW
(:, , 81) 	 > Punct
({, , 82) 	 > Punct
(skip, , 84) 	 > KW
(#, , 84) 	 > Punct
(}, , 85) 	 > Punct
(}, , 86) 	 > Punct
(}, , 88) 	 > Punct
(}, , 89) 	 > Punct
(general, , 92) 	 > KW
(class, , 92) 	 > KW
(ID, ParentClass, 92)
({, , 93) 	 > Punct
(general, , 96) 	 > KW
(inactive, , 96) 	 > KW
(void, , 96) 	 > KW
(ID, myMethod, 96)
((, , 96) 	 > Punct
(), , 96) 	 > Punct
({, , 97) 	 > Punct
(string, , 98) 	 > KW
(ID, myName, 98)
(=, , 98) 	 > Oper
(str_const, "Alwi", 98)
(#, , 98) 	 > Punct
(when, , 99) 	 > KW
((, , 99) 	 > Punct
(ID, myNum, 99)
(<=, , 99) 	 > Oper
(int_const, 10, 99)
(), , 99) 	 > Punct
({, , 100) 	 > Punct
(}, , 102) 	 > Punct
(}, , 104) 	 > Punct
(general, , 107) 	 > KW
(inactive, , 107) 	 > KW
(string, , 107) 	 > KW
(ID, myMethod, 107)
((, , 107) 	 > Punct
(), , 107) 	 > Punct
({, , 108) 	 > Punct
(string, , 109) 	 > KW
(ID, myName, 109)
(=, , 109) 	 > Oper
(str_const, "Alwi", 109)
(#, , 109) 	 > Punct
(refund, , 111) 	 > KW
(ID, myName, 111)
(#, , 111) 	 > Punct
(}, , 112) 	 > Punct
(}, , 113) 	 > Punct
(general, , 115) 	 > KW
(class, , 115) 	 > KW
(ID, SubClass, 115)
(inherits, , 115) 	 > KW
(ID, ParentClass, 115)
({, , 116) 	 > Punct
(}, , 118) 	 > Punct
(symbolic, , 120) 	 > KW
(class, , 120) 	 > KW
(ID, TestClass, 120)
({, , 121) 	 > Punct
(general, , 122) 	 > KW
(symbolic, , 122) 	 > KW
(void, , 122) 	 > KW
(ID, myMethod, 122)
((, , 122) 	 > Punct
(), , 122) 	 > Punct
(#, , 122) 	 > Punct
(}, , 123) 	 > Punct
(general, , 127) 	 > KW
(class, , 127) 	 > KW
(ID, ParentClass, 127)
({, , 128) 	 > Punct
(general, , 129) 	 > KW
(void, , 129) 	 > KW
(ID, myMethod, 129)
((, , 129) 	 > Punct
(num, , 129) 	 > KW
(ID, myNum, 129)
(), , 129) 	 > Punct
({, , 130) 	 > Punct
(THIS, , 131) 	 > KW
(., , 131) 	 > Punct
(ID, number, 131)
(=, , 131) 	 > Oper
(ID, myNum, 131)
(#, , 131) 	 > Punct
(}, , 132) 	 > Punct
(}, , 133) 	 > Punct
(interface, , 136) 	 > KW
(ID, myInterface, 136)
({, , 137) 	 > Punct
(general, , 138) 	 > KW
(void, , 138) 	 > KW
(ID, myMethod, 138)
((, , 138) 	 > Punct
(), , 138) 	 > Punct
(#, , 138) 	 > Punct
(}, , 139) 	 > Punct
(class, , 142) 	 > KW
(ID, SubClass, 142)
(implements, , 142) 	 > KW
(ID, myInterface, 142)
({, , 143) 	 > Punct
(general, , 144) 	 > KW
(void, , 144) 	 > KW
(ID, myMethod, 144)
((, , 144) 	 > Punct
(), , 144) 	 > Punct
({, , 145) 	 > Punct
(}, , 147) 	 > Punct
(}, , 148) 	 > Punct
